Package,License
json-schema,(AFL-2.1 OR BSD-3-Clause)
harmony-reflect,(Apache-2.0 OR MPL-1.1)
node-forge,(BSD-3-Clause OR GPL-2.0)
pako,(MIT AND Zlib)
type-fest,(MIT OR CC0-1.0)
store2,(MIT OR GPL-3.0)
tslib,0BSD
@ampproject/remapping,Apache-2.0
@humanwhocodes/config-array,Apache-2.0
@humanwhocodes/module-importer,Apache-2.0
@juggle/resize-observer,Apache-2.0
@prisma/debug (dev),Apache-2.0
@prisma/engines (dev),Apache-2.0
@prisma/engines-version (dev),Apache-2.0
@prisma/fetch-engine (dev),Apache-2.0
@prisma/get-platform (dev),Apache-2.0
@react-aria/ssr,Apache-2.0
@surma/rollup-plugin-off-main-thread,Apache-2.0
@swc/helpers,Apache-2.0
@webassemblyjs/leb128,Apache-2.0
@xtuc/long,Apache-2.0
ansi-html-community,Apache-2.0
aria-query,Apache-2.0
axobject-query,Apache-2.0
bser,Apache-2.0
didyoumean,Apache-2.0
doctrine,Apache-2.0
ejs,Apache-2.0
eslint-visitor-keys,Apache-2.0
faye-websocket,Apache-2.0
fb-watchman,Apache-2.0
filelist,Apache-2.0
human-signals,Apache-2.0
jake,Apache-2.0
prisma (dev),Apache-2.0
ts-interface-checker,Apache-2.0
typescript,Apache-2.0
walker,Apache-2.0
web-vitals,Apache-2.0
websocket-driver,Apache-2.0
websocket-extensions,Apache-2.0
xml-name-validator,Apache-2.0
jackspeak,BlueOak-1.0.0
path-scurry,BlueOak-1.0.0
@typescript-eslint/parser,BSD-2-Clause
@typescript-eslint/typescript-estree,BSD-2-Clause
browser-process-hrtime,BSD-2-Clause
css-select,BSD-2-Clause
css-what,BSD-2-Clause
damerau-levenshtein,BSD-2-Clause
default-gateway,BSD-2-Clause
domelementtype,BSD-2-Clause
domhandler,BSD-2-Clause
domutils,BSD-2-Clause
dotenv,BSD-2-Clause
dotenv-expand,BSD-2-Clause
entities,BSD-2-Clause
escodegen,BSD-2-Clause
eslint-scope,BSD-2-Clause
espree,BSD-2-Clause
esprima,BSD-2-Clause
esrecurse,BSD-2-Clause
estraverse,BSD-2-Clause
esutils,BSD-2-Clause
glob-to-regexp,BSD-2-Clause
nth-check,BSD-2-Clause
